11-16 20:14:22: Training starting...
11-16 20:14:24: New best reward -9.3 (-100.0%) at episode 0, saving model...
11-16 20:14:24: New best reward 3.9 (-141.9%) at episode 21, saving model...
11-16 20:14:24: New best reward 6.4 (+64.1%) at episode 23, saving model...
11-16 20:14:25: New best reward 8.4 (+31.2%) at episode 33, saving model...
11-16 20:14:35: New best reward 10.5 (+25.0%) at episode 266, saving model...
11-16 20:14:54: New best reward 22.4 (+113.3%) at episode 672, saving model...
11-16 20:18:39: New best reward 26.9 (+20.1%) at episode 4593, saving model...
11-16 20:18:55: New best reward 31.9 (+18.6%) at episode 4857, saving model...
11-16 20:19:44: New best reward 36.4 (+14.1%) at episode 5657, saving model...
11-16 20:20:10: New best reward 37.4 (+2.7%) at episode 6057, saving model...
11-16 20:22:04: New best reward 37.5 (+0.3%) at episode 7854, saving model...
11-16 20:22:41: New best reward 40.9 (+9.1%) at episode 8436, saving model...
11-16 20:22:59: New best reward 50.4 (+23.2%) at episode 8713, saving model...
11-16 20:23:59: New best reward 57.3 (+13.7%) at episode 9689, saving model...
11-16 20:26:20: New best reward 61.1 (+6.6%) at episode 11753, saving model...
11-16 20:27:19: New best reward 76.1 (+24.5%) at episode 12566, saving model...
11-16 20:32:42: New best reward 82.9 (+8.9%) at episode 17074, saving model...
11-16 20:37:17: New best reward 96.9 (+16.9%) at episode 20748, saving model...
11-16 20:41:08: New best reward 97.1 (+0.2%) at episode 23800, saving model...
11-16 20:42:07: New best reward 110.9 (+14.2%) at episode 24564, saving model...
11-16 20:42:07: New best reward 121.5 (+9.6%) at episode 24569, saving model...
11-16 20:45:55: New best reward 127.8 (+5.2%) at episode 27280, saving model...
11-16 20:48:33: New best reward 135.6 (+6.1%) at episode 28849, saving model...
11-16 20:52:17: New best reward 136.7 (+0.8%) at episode 31092, saving model...
11-16 20:53:53: New best reward 200.8 (+46.9%) at episode 32053, saving model...
11-16 20:59:37: New best reward 206.9 (+3.0%) at episode 35292, saving model...
11-16 21:02:01: New best reward 218.4 (+5.6%) at episode 36617, saving model...
11-16 21:02:51: New best reward 255.9 (+17.2%) at episode 37036, saving model...
11-16 21:10:04: New best reward 261.3 (+2.1%) at episode 40552, saving model...
11-16 21:12:44: New best reward 302.4 (+15.7%) at episode 41808, saving model...
11-16 21:19:55: New best reward 356.7 (+18.0%) at episode 44548, saving model...
11-16 21:21:55: New best reward 359.3 (+0.7%) at episode 45192, saving model...
11-16 21:29:56: New best reward 403.3 (+12.2%) at episode 48250, saving model...
11-16 21:34:13: New best reward 439.1 (+8.9%) at episode 49664, saving model...
11-16 21:36:53: New best reward 451.9 (+2.9%) at episode 50605, saving model...
11-16 21:37:53: New best reward 474.9 (+5.1%) at episode 50901, saving model...
11-16 21:41:36: New best reward 521.9 (+9.9%) at episode 52013, saving model...
11-16 21:56:14: New best reward 656.9 (+25.9%) at episode 56205, saving model...
11-16 21:56:41: New best reward 782.9 (+19.2%) at episode 56312, saving model...
11-16 22:12:39: New best reward 849.2 (+8.5%) at episode 60319, saving model...
11-16 22:17:36: New best reward 1030.4 (+21.3%) at episode 61391, saving model...
11-16 22:40:51: New best reward 1224.1 (+18.8%) at episode 65861, saving model...
11-16 23:17:33: New best reward 1454.9 (+18.9%) at episode 71601, saving model...
11-16 23:39:34: New best reward 1745.3 (+20.0%) at episode 74537, saving model...
11-17 00:07:53: New best reward 2047.9 (+17.3%) at episode 77904, saving model...
11-17 00:57:28: New best reward 2143.1 (+4.6%) at episode 82841, saving model...
11-17 01:37:57: New best reward 3141.1 (+46.6%) at episode 86221, saving model...
11-17 02:18:31: New best reward 3302.9 (+5.2%) at episode 89440, saving model...
11-17 03:28:37: New best reward 3728.9 (+12.9%) at episode 94135, saving model...
11-17 05:01:17: New best reward 3783.9 (+1.5%) at episode 99347, saving model...
11-17 06:10:34: New best reward 5000.1 (+32.1%) at episode 102929, saving model...
