11-16 18:37:45: Training starting...
11-16 18:37:46: New best reward -9.3 (-100.0%) at episode 0, saving model...
11-16 18:37:47: New best reward 3.9 (-141.9%) at episode 22, saving model...
11-16 18:37:47: New best reward 4.7 (+20.5%) at episode 29, saving model...
11-16 18:37:48: New best reward 6.6 (+40.4%) at episode 45, saving model...
11-16 18:38:00: New best reward 8.4 (+27.3%) at episode 339, saving model...
11-16 18:39:42: New best reward 8.5 (+1.2%) at episode 2526, saving model...
11-16 18:45:15: New best reward 8.6 (+1.2%) at episode 9397, saving model...
11-16 18:45:26: New best reward 11.1 (+29.1%) at episode 9636, saving model...
11-16 18:45:42: New best reward 12.9 (+16.2%) at episode 9986, saving model...
11-16 18:45:52: New best reward 17.9 (+38.8%) at episode 10197, saving model...
11-16 18:46:18: New best reward 22.4 (+25.1%) at episode 10731, saving model...
11-16 18:47:22: New best reward 28.0 (+25.0%) at episode 11937, saving model...
11-16 18:47:24: New best reward 29.3 (+4.6%) at episode 11964, saving model...
11-16 18:48:18: New best reward 36.4 (+24.2%) at episode 12887, saving model...
11-16 18:48:23: New best reward 37.1 (+1.9%) at episode 12957, saving model...
11-16 18:49:06: New best reward 41.1 (+10.8%) at episode 13670, saving model...
11-16 18:50:05: New best reward 50.4 (+22.6%) at episode 14676, saving model...
11-16 18:50:48: New best reward 54.9 (+8.9%) at episode 15358, saving model...
11-16 18:54:21: New best reward 101.9 (+85.6%) at episode 18689, saving model...
11-16 19:01:32: New best reward 109.1 (+7.1%) at episode 24453, saving model...
11-16 19:02:40: New best reward 110.9 (+1.6%) at episode 25282, saving model...
11-16 19:02:45: New best reward 141.7 (+27.8%) at episode 25345, saving model...
11-16 19:09:14: New best reward 144.9 (+2.3%) at episode 29981, saving model...
11-16 19:13:22: New best reward 192.8 (+33.1%) at episode 32646, saving model...
11-16 19:18:37: New best reward 208.9 (+8.4%) at episode 35773, saving model...
11-16 19:23:27: New best reward 246.4 (+18.0%) at episode 38203, saving model...
11-16 19:31:42: New best reward 300.1 (+21.8%) at episode 41661, saving model...
