11-24 12:34:43: Training starting...
11-24 12:34:47: New best reward -12.1 (-100.0%) at episode 0, saving model...
11-24 12:34:48: New best reward 3.2 (-126.4%) at episode 1, saving model...
11-24 12:36:52: New best reward 4.7 (+46.9%) at episode 550, saving model...
11-24 12:37:52: New best reward 5.3 (+12.8%) at episode 834, saving model...
11-24 12:38:13: New best reward 5.9 (+11.3%) at episode 932, saving model...
11-24 12:38:50: New best reward 6.2 (+5.1%) at episode 1104, saving model...
11-24 12:39:32: New best reward 7.1 (+14.5%) at episode 1295, saving model...
11-24 12:44:31: New best reward 10.0 (+40.8%) at episode 2625, saving model...
11-24 12:45:51: New best reward 10.6 (+6.0%) at episode 2974, saving model...
11-24 12:55:12: New best reward 12.1 (+14.2%) at episode 5329, saving model...
11-24 12:55:24: New best reward 12.7 (+5.0%) at episode 5376, saving model...
11-24 12:57:37: New best reward 15.1 (+18.9%) at episode 5888, saving model...
11-24 13:10:45: New best reward 15.3 (+1.3%) at episode 8829, saving model...
