11-24 13:53:06: Training starting...
11-24 13:53:08: New best reward -14.5 (-100.0%) at episode 0, saving model...
11-24 13:53:08: New best reward 2.9 (-120.0%) at episode 1, saving model...
11-24 13:53:09: New best reward 3.5 (+20.7%) at episode 6, saving model...
11-24 13:53:11: New best reward 4.4 (+25.7%) at episode 12, saving model...
11-24 13:53:14: New best reward 4.7 (+6.8%) at episode 25, saving model...
11-24 13:53:24: New best reward 8.3 (+76.6%) at episode 61, saving model...
11-24 13:58:01: New best reward 9.1 (+9.6%) at episode 1186, saving model...
11-24 14:07:53: New best reward 11.8 (+29.7%) at episode 3742, saving model...
11-24 14:10:25: New best reward 12.1 (+2.5%) at episode 4371, saving model...
11-24 14:10:46: New best reward 12.4 (+2.5%) at episode 4457, saving model...
11-24 14:12:35: New best reward 15.3 (+23.4%) at episode 4935, saving model...
11-24 14:13:47: New best reward 16.2 (+5.9%) at episode 5240, saving model...
11-24 14:19:51: New best reward 19.7 (+21.6%) at episode 6696, saving model...
11-24 14:34:17: New best reward 19.9 (+1.0%) at episode 10118, saving model...
11-24 14:37:57: New best reward 22.1 (+11.1%) at episode 10959, saving model...
11-24 14:39:42: New best reward 26.0 (+17.6%) at episode 11358, saving model...
11-24 14:43:52: New best reward 28.0 (+7.7%) at episode 12240, saving model...
11-24 14:44:12: New best reward 34.4 (+22.9%) at episode 12310, saving model...
11-24 14:44:39: New best reward 41.7 (+21.2%) at episode 12400, saving model...
11-24 14:45:11: New best reward 51.6 (+23.7%) at episode 12500, saving model...
11-24 15:04:14: New best reward 51.8 (+0.4%) at episode 15737, saving model...
11-24 15:05:29: New best reward 60.2 (+16.2%) at episode 15903, saving model...
11-24 15:07:51: New best reward 67.9 (+12.8%) at episode 16242, saving model...
11-24 15:11:53: New best reward 72.6 (+6.9%) at episode 16823, saving model...
11-24 15:24:18: New best reward 74.7 (+2.9%) at episode 18559, saving model...
11-24 15:25:52: New best reward 89.5 (+19.8%) at episode 18779, saving model...
11-24 15:30:32: New best reward 95.6 (+6.8%) at episode 19321, saving model...
11-24 15:32:00: New best reward 106.2 (+11.1%) at episode 19493, saving model...
11-24 15:42:34: New best reward 110.8 (+4.3%) at episode 20671, saving model...
11-24 15:42:55: New best reward 120.5 (+8.8%) at episode 20705, saving model...
11-24 15:52:40: New best reward 144.9 (+20.2%) at episode 21772, saving model...
11-24 16:22:58: New best reward 147.2 (+1.6%) at episode 24691, saving model...
11-24 16:23:24: New best reward 149.6 (+1.6%) at episode 24723, saving model...
11-24 16:28:26: New best reward 179.2 (+19.8%) at episode 25147, saving model...
11-24 16:29:57: New best reward 191.7 (+7.0%) at episode 25247, saving model...
11-24 16:50:00: New best reward 278.3 (+45.2%) at episode 26792, saving model...
11-24 17:18:00: New best reward 360.9 (+29.7%) at episode 28620, saving model...
11-24 17:36:00: New best reward 462.5 (+28.2%) at episode 29490, saving model...
11-24 17:40:59: New best reward 494.9 (+7.0%) at episode 29714, saving model...
11-24 18:17:47: New best reward 546.3 (+10.4%) at episode 31336, saving model...
11-24 18:47:13: New best reward 624.8 (+14.4%) at episode 32549, saving model...
11-24 19:29:45: New best reward 707.4 (+13.2%) at episode 33863, saving model...
11-24 20:44:34: New best reward 751.4 (+6.2%) at episode 35560, saving model...
11-24 21:08:04: New best reward 789.4 (+5.1%) at episode 35980, saving model...
11-24 22:29:19: New best reward 1206.5 (+52.8%) at episode 37646, saving model...
11-24 22:32:18: New best reward 1218.4 (+1.0%) at episode 37674, saving model...
11-25 00:46:33: New best reward 1298.6 (+6.6%) at episode 39918, saving model...
11-25 01:11:18: New best reward 1397.2 (+7.6%) at episode 40238, saving model...
11-25 03:00:38: New best reward 1505.1 (+7.7%) at episode 41389, saving model...
11-25 05:03:01: New best reward 1779.0 (+18.2%) at episode 42700, saving model...
11-25 05:12:29: New best reward 1861.8 (+4.7%) at episode 42789, saving model...
11-25 06:22:18: New best reward 2376.3 (+27.6%) at episode 43486, saving model...
