11-25 17:39:58: Training starting...
11-25 17:40:04: New best reward 79.1 (-100.0%) at episode 0, saving model...
11-25 17:40:08: New best reward 117.5 (+48.5%) at episode 1, saving model...
11-25 17:40:19: New best reward 125.2 (+6.6%) at episode 5, saving model...
11-25 17:40:55: New best reward 314.7 (+151.4%) at episode 21, saving model...
11-25 17:42:01: New best reward 370.4 (+17.7%) at episode 46, saving model...
11-25 17:50:06: New best reward 378.2 (+2.1%) at episode 248, saving model...
11-25 18:00:43: New best reward 539.6 (+42.7%) at episode 551, saving model...
11-25 18:11:06: New best reward 665.4 (+23.3%) at episode 817, saving model...
11-25 18:23:24: New best reward 675.8 (+1.6%) at episode 1071, saving model...
11-25 18:36:33: New best reward 993.3 (+47.0%) at episode 1290, saving model...
11-25 18:41:07: New best reward 1159.0 (+16.7%) at episode 1353, saving model...
11-25 19:00:02: New best reward 1524.2 (+31.5%) at episode 1581, saving model...
11-25 19:18:32: New best reward 2070.1 (+35.8%) at episode 1735, saving model...
11-25 19:55:16: New best reward 2657.4 (+28.4%) at episode 1999, saving model...
11-25 21:18:53: New best reward 3128.6 (+17.7%) at episode 2335, saving model...
