11-26 13:54:45: Training starting...
11-26 13:54:47: New best reward -14.5 (-100.0%) at episode 0, saving model...
11-26 13:54:47: New best reward -0.2 (-98.6%) at episode 1, saving model...
11-26 13:54:49: New best reward 2.9 (-1550.0%) at episode 11, saving model...
11-26 13:54:50: New best reward 3.2 (+10.3%) at episode 12, saving model...
11-26 13:54:50: New best reward 4.0 (+25.0%) at episode 14, saving model...
11-26 13:54:51: New best reward 4.3 (+7.5%) at episode 16, saving model...
11-26 13:56:40: New best reward 5.8 (+34.9%) at episode 350, saving model...
11-26 13:57:31: New best reward 7.4 (+27.6%) at episode 563, saving model...
11-26 13:57:33: New best reward 7.5 (+1.4%) at episode 570, saving model...
11-26 13:57:34: New best reward 13.7 (+82.7%) at episode 575, saving model...
11-26 13:59:16: New best reward 15.7 (+14.6%) at episode 1019, saving model...
11-26 13:59:50: New best reward 22.1 (+40.8%) at episode 1141, saving model...
11-26 14:02:48: New best reward 23.5 (+6.3%) at episode 1711, saving model...
11-26 14:06:44: New best reward 23.8 (+1.3%) at episode 2493, saving model...
11-26 14:06:48: New best reward 25.9 (+8.8%) at episode 2501, saving model...
11-26 14:06:49: New best reward 26.2 (+1.2%) at episode 2503, saving model...
11-26 14:07:37: New best reward 46.5 (+77.5%) at episode 2638, saving model...
11-26 14:08:02: New best reward 74.0 (+59.1%) at episode 2695, saving model...
11-26 14:08:05: New best reward 120.6 (+63.0%) at episode 2696, saving model...
11-26 14:10:46: New best reward 152.0 (+26.0%) at episode 3148, saving model...
11-26 14:15:17: New best reward 192.9 (+26.9%) at episode 3584, saving model...
11-26 14:15:33: New best reward 398.6 (+106.6%) at episode 3588, saving model...
11-26 14:25:06: New best reward 451.8 (+13.3%) at episode 4958, saving model...
11-26 14:28:03: New best reward 460.4 (+1.9%) at episode 5068, saving model...
11-26 14:53:42: New best reward 504.2 (+9.5%) at episode 6786, saving model...
