11-09 21:15:10: Training starting...
11-09 21:15:12: New best reward 15.0 (-100.0%) at episode 0, saving model...
11-09 21:15:12: New best reward 30.0 (+100.0%) at episode 1, saving model...
11-09 21:15:12: New best reward 41.0 (+36.7%) at episode 7, saving model...
11-09 21:15:12: New best reward 43.0 (+4.9%) at episode 10, saving model...
11-09 21:15:12: New best reward 45.0 (+4.7%) at episode 16, saving model...
11-09 21:15:12: New best reward 59.0 (+31.1%) at episode 20, saving model...
11-09 21:15:12: New best reward 73.0 (+23.7%) at episode 92, saving model...
11-09 21:15:13: New best reward 112.0 (+53.4%) at episode 345, saving model...
11-09 21:15:19: New best reward 121.0 (+8.0%) at episode 2064, saving model...
11-09 21:15:19: New best reward 125.0 (+3.3%) at episode 2087, saving model...
11-09 21:15:20: New best reward 143.0 (+14.4%) at episode 2299, saving model...
11-09 21:15:21: New best reward 163.0 (+14.0%) at episode 2320, saving model...
11-09 21:15:21: New best reward 219.0 (+34.4%) at episode 2374, saving model...
11-09 21:15:23: New best reward 239.0 (+9.1%) at episode 2675, saving model...
11-09 21:15:29: New best reward 290.0 (+21.3%) at episode 3434, saving model...
11-09 21:16:06: New best reward 300.0 (+3.4%) at episode 7615, saving model...
