11-09 21:28:30: Training starting...
11-09 21:28:31: New best reward -6.9 (-100.0%) at episode 0, saving model...
11-09 21:28:32: New best reward -3.3 (-52.2%) at episode 6, saving model...
11-09 21:28:32: New best reward -2.7 (-18.2%) at episode 117, saving model...
11-09 21:28:32: New best reward -1.5 (-44.4%) at episode 122, saving model...
11-09 21:28:41: New best reward -0.9 (-40.0%) at episode 1395, saving model...
11-09 21:28:44: New best reward -0.3 (-66.7%) at episode 1752, saving model...
11-09 21:28:46: New best reward 1.5 (-600.0%) at episode 2075, saving model...
11-09 21:28:48: New best reward 2.1 (+40.0%) at episode 2379, saving model...
11-09 21:28:52: New best reward 3.3 (+57.1%) at episode 2854, saving model...
11-09 21:29:02: New best reward 3.9 (+18.2%) at episode 4013, saving model...
11-09 21:29:34: New best reward 4.0 (+2.6%) at episode 7386, saving model...
11-09 21:29:44: New best reward 4.2 (+5.0%) at episode 8354, saving model...
11-09 21:29:56: New best reward 4.9 (+16.7%) at episode 9529, saving model...
11-09 21:30:18: New best reward 5.0 (+2.0%) at episode 11542, saving model...
11-09 21:30:20: New best reward 6.1 (+22.0%) at episode 11719, saving model...
11-09 21:31:10: New best reward 6.2 (+1.6%) at episode 15878, saving model...
11-09 21:31:16: New best reward 6.5 (+4.8%) at episode 16357, saving model...
11-09 21:31:43: New best reward 8.4 (+29.2%) at episode 18639, saving model...
11-09 21:32:05: New best reward 8.7 (+3.6%) at episode 20298, saving model...
11-09 21:32:32: New best reward 9.2 (+5.7%) at episode 22186, saving model...
11-09 21:33:21: New best reward 11.3 (+22.8%) at episode 25515, saving model...
11-09 21:36:06: New best reward 12.9 (+14.2%) at episode 37025, saving model...
11-09 21:36:53: New best reward 13.4 (+3.9%) at episode 40070, saving model...
11-09 21:37:17: New best reward 13.7 (+2.2%) at episode 41662, saving model...
11-09 21:37:25: New best reward 13.8 (+0.7%) at episode 42211, saving model...
11-09 21:37:28: New best reward 15.0 (+8.7%) at episode 42408, saving model...
11-09 21:38:00: New best reward 17.9 (+19.3%) at episode 44417, saving model...
11-09 21:39:43: New best reward 20.8 (+16.2%) at episode 50634, saving model...
11-09 21:40:46: New best reward 22.4 (+7.7%) at episode 54304, saving model...
11-09 21:42:08: New best reward 26.9 (+20.1%) at episode 59193, saving model...
11-09 21:43:33: New best reward 27.3 (+1.5%) at episode 63863, saving model...
11-09 21:43:49: New best reward 32.0 (+17.2%) at episode 64765, saving model...
11-09 21:45:04: New best reward 36.4 (+13.8%) at episode 68521, saving model...
11-09 21:45:14: New best reward 37.1 (+1.9%) at episode 69020, saving model...
11-09 21:48:45: New best reward 56.0 (+50.9%) at episode 79984, saving model...
11-09 21:56:12: New best reward 62.7 (+12.0%) at episode 101512, saving model...
11-09 22:06:35: New best reward 69.4 (+10.7%) at episode 127520, saving model...
11-09 22:50:44: New best reward 71.7 (+3.3%) at episode 222924, saving model...
11-09 23:01:25: New best reward 76.2 (+6.3%) at episode 243348, saving model...
11-09 23:13:13: New best reward 76.8 (+0.8%) at episode 264859, saving model...
11-09 23:18:17: New best reward 78.5 (+2.2%) at episode 273348, saving model...
11-10 00:17:09: New best reward 87.9 (+12.0%) at episode 367244, saving model...
11-10 00:20:52: New best reward 92.4 (+5.1%) at episode 372716, saving model...
11-10 01:40:47: New best reward 96.9 (+4.9%) at episode 462434, saving model...
11-10 02:35:32: New best reward 100.1 (+3.3%) at episode 509360, saving model...
